app_id,privacy_policy_url,GPT3.5,GPT4
terms_of_use_1,https://www.apple.com/legal/internet-services/terms/site.html,No,No
terms_of_use_2,https://imoapp.com/policies/terms_of_service.html,No,No
terms_of_use_3,https://www.thelevelup.com/user-terms,No,No
terms_of_use_4,https://policies.google.com/terms?hl=en-US,No,No
terms_of_use_5,https://help.netflix.com/legal/termsofuse,No,No
terms_of_use_6,https://explore.zoom.us/en/terms/,No,No
terms_of_use_7,https://www.crowdstrike.com/software-terms-of-use/,No,No
terms_of_use_8,https://www.razer.com/legal/services-and-software-terms-of-use,Yes,No
terms_of_use_9,https://www.intel.com/content/www/us/en/legal/terms-of-use.html,No,No
terms_of_use_10,https://www.quest.com/legal/,No,No
terms_of_use_11,https://www.amgen.com/terms-of-use,Yes,No
terms_of_use_12,https://www.tiktok.com/legal/page/us/terms-of-service/en,No,No
terms_of_use_13,https://brave.com/terms-of-use/,Yes,No
terms_of_use_14,https://www.sideline.com/terms-of-service/,No,No
terms_of_use_15,https://www.avochato.com/terms,No,No
terms_of_use_16,https://snap.com/en-US/terms,Yes,No
terms_of_use_17,https://www.spotify.com/us/legal/end-user-agreement/,No,No
terms_of_use_18,https://co.mindbodyonline.com/legal/terms-of-service,No,No
terms_of_use_19,https://mailchimp.com/legal/terms/,No,No
terms_of_use_20,https://frame.io/terms,No,No
terms_of_use_21,https://help.nytimes.com/hc/en-us/articles/115014893428-Terms-of-Service,No,No
terms_of_use_22,https://fortune.com/terms-of-use/,No,No
terms_of_use_23,https://digitalmasterpieces.com/app-terms/,Yes,No
terms_of_use_24,https://www.redcross.org/terms-of-use.html,No,No
terms_of_use_25,https://nianticlabs.com/terms,No,No
terms_of_use_26,https://parkmobile.io/terms-of-use/,No,No
terms_of_use_27,https://help.instagram.com/581066165581870?cms_id=581066165581870,No,No
terms_of_use_28,https://www.browserstack.com/terms,No,No
terms_of_use_29,https://www.nbcuniversal.com/terms,No,No
terms_of_use_30,https://firebase.google.com/terms/crashlytics,No,No
terms_of_use_31,https://www.mheducation.com/terms-use.html,No,No
terms_of_use_32,https://www.activision.com/legal/terms-of-use,No,No
terms_of_use_33,https://terms.line.me/line_terms?lang=en_US,No,No
terms_of_use_34,https://www.walmart.com/help/article/walmart-com-terms-of-use/3b75080af40340d6bbd596f116fae5a0,No,No
terms_of_use_35,https://smartbear.com/terms-of-use/,No,No
terms_of_use_36,https://www.viber.com/en/terms/viber-terms-use/,No,No
terms_of_use_37,https://www.zellepay.com/legal/user-service-agreement,No,No
terms_of_use_38,https://www.wipo.int/mobile-apps/en/,No,No
terms_of_use_39,https://www.nationwidechildrens.org/family-resources-education/mobile-apps/make-safe-happen/safety-app-disclaimer,No,No
terms_of_use_40,https://www.id.me/terms,No,No
legal_notice_1,https://serato.com/legal/software-legal-notices,No,No
legal_notice_2,https://www.patriotsoftware.com/about/legal-disclaimer/,No,No
legal_notice_3,https://www.irissoftware.com/disclaimer/,No,No
legal_notice_4,https://www.bostonsoftwaresystems.com/About-Us/Legal-Notice,No,No
legal_notice_5,https://www.rockwellautomation.com/en-us/company/about-us/legal-notices/software-cloud-services-agreement.html,No,No
legal_notice_6,https://www.amazon.com/gp/help/customer/display.html?nodeId=200495390,No,No
legal_notice_7,https://kenvuepediatrics.com/legal,No,No
legal_notice_8,https://www.autodesk.com/company/legal-notices-trademarks/terms-of-service-autodesk360-web-services/autodesk-autocad-mobile-terms-of-service,No,No
legal_notice_9,https://www.t-mobile.com/responsibility/legal/terms-and-conditions,Yes,No
legal_notice_10,https://www.paybyphone.com/legal-pages/legal-notice,No,No
legal_notice_11,https://appradar.com/legal-notice,No,No
legal_notice_12,https://www.kenvue.com/legal-notice,No,No
legal_notice_13,https://dropshare.app/legal-notice/,No,No
legal_notice_14,https://www.carnival.com/about-carnival/legal-notice/mobile-application-terms-conditions,Yes,No
legal_notice_15,https://wpmobile.app/en/legal-notice/,No,No
legal_notice_16,https://www.amazon.com/gp/help/customer/display.html?nodeId=GTU2WTMFG43BY5CF,No,No
legal_notice_17,https://www.mantech.com/legal-notices,No,No
legal_notice_18,https://help.yuka.io/l/en/article/nlsu1ptphw-legal-notice,No,No
legal_notice_19,https://alertcops.ses.mir.es/publico/alertcops/en/avisoLegal.html,No,No
legal_notice_20,https://www.fourseasons.com/legal/,No,No
random_page_1,https://vulcanlabs.co/,No,No
random_page_2,https://www.figma.com/,No,No
random_page_3,https://www.elegantthemes.com/blog/wordpress/tools-to-see-what-software-a-website-was-built-with,No,No
random_page_4,https://www.duda.co/,No,No
random_page_5,https://www.realmacsoftware.com/rapidweaver/,No,No
random_page_6,https://www.techtarget.com/searchsoftwarequality/definition/Web-application-Web-app,No,No
random_page_7,https://www.goto.com/meeting,No,No
random_page_8,https://www.cisco.com/,No,No
random_page_9,https://www.synopsys.com/,No,No
random_page_10,https://www.sketch.com/,No,No
random_page_11,https://www.enterprise.com/en/car-rental/vehicles/us.html?icid=header.rent.vehicles-_-us.vehicles-_-ENUS.NULL,No,No
random_page_12,https://www.nbcuniversal.com/leadership,No,No
random_page_13,https://line.me/en/,No,No
random_page_14,https://smartbear.com/product/bitbar/,No,No
random_page_15,https://www.viber.com/en/blog/,No,No
random_page_16,https://www.wipo.int/reference/en/branddb/,No,No
random_page_17,https://www.id.me/jobshub?utm_campaign=B2C&utm_medium=web&utm_source=nav_menu,No,No
random_page_18,https://www.redcross.org/give-blood.html,No,No
random_page_19,https://app.parkmobile.io/search?parkingType=2,No,No
random_page_20,https://www.kenvue.com/our-story,No,No
