app_id,app_url,privacy_policy_url,annotation_correctly_collected,annotation_is_english,annotation_is_policy,annotation_has_complementary_info,annotation_has_new_info
id1001688546,https://apps.apple.com/us/app/brightspace-pulse/id1001688546,http://www.brightspace.com/legal/privacy/,Yes,Yes,Yes,No,No
id1050988480,https://apps.apple.com/us/app/daniel-tigers-stop-go-potty/id1050988480,http://pbskids.org/privacy,Yes,Yes,Yes,No,No
id1056182234,https://apps.apple.com/us/app/spotify-for-podcasters/id1056182234,https://podcasters.spotify.com/pod/privacy,Yes,Yes,Yes,Yes,No
id1082300408,https://apps.apple.com/us/app/klara-patient-communication/id1082300408,https://www.klara.com/privacy,Yes,Yes,No,No,Yes
id1104842183,https://apps.apple.com/us/app/aa-emojis-extra-pro-adult-emoji-keyboard-sexy-emotion/id1104842183,http://weweepingphilosopher.tumblr.com/post/141638841504/privacy-policy,Yes,Yes,No,No,No
id1128712763,https://apps.apple.com/us/app/credit-one-bank-mobile/id1128712763,https://www.creditonebank.com/privacy,Yes,Yes,Yes,No,No
id1151532978,https://apps.apple.com/us/app/scooters-coffee/id1151532978,https://www.thelevelup.com/privacy-policy,Yes,Yes,Yes,Yes,No
id1174536386,https://apps.apple.com/us/app/veinseek-pro/id1174536386,https://www.veinseek.com/#privacy-policy-section,Yes,Yes,Yes,No,No
id1200952700,https://apps.apple.com/us/app/fotospot-road-trip-planner/id1200952700,https://ihearttravel.com/privacy-policy/,Yes,Yes,Yes,No,No
id1212475501,https://apps.apple.com/us/app/toyota-lexus-car-parts/id1212475501,http://balkarov.wix.com/support/privacy-policy,Yes,Yes,Yes,No,No
id1234266367,https://apps.apple.com/us/app/drum-tuner-idrumtune-pro/id1234266367,http://www.idrumtune.com/terms,Yes,Yes,Yes,No,No
id1241570625,https://apps.apple.com/us/app/starrycamera-pro2/id1241570625,https://shakusiapps.blogspot.com/2017/05/blog-post.html,Yes,No,No,No,No
id1268937966,https://apps.apple.com/us/app/camera-translator-translate/id1268937966,http://vulcanlabs.co/index.php/privacy-policy/,Yes,Yes,Yes,No,No
id1282665437,https://apps.apple.com/us/app/fabtech-events/id1282665437,https://m.core-apps.com/fabtech2019/privacyPolicy,Yes,Yes,Yes,No,No
id1335260043,https://apps.apple.com/us/app/ombi/id1335260043,https://github.com/ombi-app/ombi,Yes,Yes,No,No,No
id1337550955,https://apps.apple.com/us/app/webcomics-webtoon-manga/id1337550955,http://h5.webcomicsapp.com/public/app/disclaimer/privacy_ios.html,Yes,Yes,Yes,No,No
id1357215444,https://apps.apple.com/us/app/python3ide/id1357215444,https://www.jianshu.com/p/3fe837f0abbe,Yes,Yes,Yes,No,No
id1366728684,https://apps.apple.com/us/app/paws-claws/id1366728684,https://www.spottedapp.org/privacy,Yes,Yes,Yes,No,No
